Filename	Plant Coverage (%)	Stressed Area (%)
ndvi_result05-01-2025_161843	0.21	0.00
ndvi_result04-30-2025_151644	0.00	53.55
ndvi_result04-30-2025_160438	0.14	0.00
ndvi_result04-30-2025_151244	99.97	0.05
ndvi_result04-18-2025_115017	2.60	82.50
ndvi_result04-30-2025_151406	0.68	98.81
ndvi_result04-30-2025_170338	0.08	0.00
ndvi_result04-17-2025_205229	27.33	54.09
ndvi_result04-18-2025_120617	0.07	85.21
ndvi_result04-18-2025_115912	4.25	69.56
ndvi_result04-18-2025_125621	0.00	91.51
ndvi_result04-30-2025_170023	1.89	2.41
ndvi_result04-30-2025_155629	57.84	57.71
ndvi_result04-17-2025_205107	99.99	0.03
ndvi_result04-30-2025_155755	0.00	0.00
ndvi_result04-18-2025_125724	0.26	91.54
ndvi_result04-17-2025_210250	18.56	71.85
ndvi_result04-30-2025_171154	0.22	0.00
ndvi_result04-30-2025_151557	0.59	78.89
ndvi_result04-30-2025_155832	0.00	100.00
ndvi_result04-18-2025_120435	0.43	89.51
ndvi_result05-01-2025_161843	0.21	0.00
ndvi_result04-30-2025_151644	0.00	53.55
ndvi_result04-30-2025_160438	0.14	0.00
ndvi_result04-30-2025_151244	99.97	0.05
ndvi_result04-18-2025_115017	2.60	82.50
ndvi_result04-18-2025_120018	0.02	63.84
ndvi_result04-18-2025_125330	16.24	37.08
ndvi_result04-30-2025_170449	0.11	0.01
ndvi_result04-30-2025_170115	0.10	0.00
ndvi_result04-30-2025_155930	0.00	100.00
ndvi_result04-18-2025_114709	0.56	78.03
ndvi_result04-18-2025_124142	3.72	71.61
ndvi_result04-18-2025_125936	0.05	76.03
ndvi_result05-01-2025_163512	0.00	100.00
ndvi_result04-18-2025_120140	0.70	90.38
ndvi_result04-18-2025_115542	8.06	99.71
ndvi_result04-17-2025_205157	9.40	81.00
ndvi_result04-17-2025_210848	26.06	60.83
ndvi_result05-01-2025_162846	0.21	0.00
ndvi_result04-18-2025_125151	54.26	11.46
ndvi_result04-18-2025_125655	0.32	90.91
ndvi_result04-18-2025_115649	0.23	94.50
ndvi_result04-18-2025_120235	6.51	43.12
ndvi_result04-30-2025_155528	4.47	97.98
ndvi_result05-01-2025_165031	0.21	0.00
ndvi_result05-01-2025_164943	0.21	0.00
ndvi_result04-30-2025_171051	0.19	0.00
ndvi_result05-01-2025_163408	0.00	100.00
ndvi_result05-01-2025_164015	0.21	0.00
ndvi_result04-18-2025_115722	3.35	79.25
ndvi_result04-30-2025_151406	0.68	98.81
ndvi_result04-30-2025_170338	0.08	0.00
ndvi_result04-17-2025_205229	27.33	54.09
ndvi_result04-18-2025_120617	0.07	85.21
ndvi_result04-18-2025_115912	4.25	69.56
ndvi_result04-18-2025_125621	0.00	91.51
ndvi_result04-30-2025_170023	1.89	2.41
ndvi_result04-30-2025_155629	57.84	57.71
ndvi_result04-17-2025_205107	99.99	0.03
ndvi_result04-30-2025_155755	0.00	0.00
ndvi_result04-18-2025_125724	0.26	91.54
ndvi_result04-17-2025_210250	18.56	71.85
ndvi_result04-30-2025_171154	0.22	0.00
ndvi_result04-30-2025_151557	0.59	78.89
ndvi_result04-30-2025_155832	0.00	100.00
ndvi_result04-18-2025_120435	0.43	89.51
ndvi_result05-01-2025_161843	0.21	0.00
ndvi_result04-30-2025_151644	0.00	53.55
ndvi_result04-30-2025_160438	0.14	0.00
ndvi_result04-30-2025_151244	99.97	0.05
ndvi_result04-18-2025_115017	2.60	82.50
ndvi_result04-18-2025_120018	0.02	63.84
ndvi_result04-18-2025_125330	16.24	37.08
ndvi_result04-30-2025_170449	0.11	0.01
ndvi_result04-30-2025_170115	0.10	0.00
ndvi_result04-30-2025_155930	0.00	100.00
ndvi_result04-18-2025_114709	0.56	78.03
ndvi_result04-18-2025_124142	3.72	71.61
ndvi_result04-18-2025_125936	0.05	76.03
ndvi_result05-01-2025_163512	0.00	100.00
ndvi_result04-18-2025_120140	0.70	90.38
ndvi_result04-18-2025_115542	8.06	99.71
ndvi_result04-17-2025_205157	9.40	81.00
ndvi_result04-17-2025_210848	26.06	60.83
ndvi_result05-01-2025_162846	0.21	0.00
ndvi_result04-18-2025_125151	54.26	11.46
ndvi_result04-18-2025_125655	0.32	90.91
ndvi_result04-18-2025_115649	0.23	94.50
ndvi_result04-18-2025_120235	6.51	43.12
ndvi_result04-30-2025_155528	4.47	97.98
ndvi_result05-01-2025_165031	0.21	0.00
ndvi_result05-01-2025_164943	0.21	0.00
ndvi_result04-30-2025_171051	0.19	0.00
ndvi_result05-01-2025_163408	0.00	100.00
ndvi_result05-01-2025_164015	0.21	0.00
ndvi_result04-18-2025_115722	3.35	79.25
